id,formulario,placa,cod_veh,clase,servicio,modalidad,fuga,codigo
566296,410212700,CQS943,2,AUTOMOVIL,PARTICULAR,,,215240-2
566297,410212800,NFD622,1,AUTOMOVIL,PARTICULAR,,,215241-1
566298,410212900,ORH71A,1,MOTOCICLETA,PARTICULAR,,,215242-1
566299,410212900,P/E,2,BICICLETA,PARTICULAR,,,215242-2
566300,410213000,JIB96,1,MOTOCICLETA,PARTICULAR,,,215243-1
566301,410213100,BDK151,1,CAMPERO,PARTICULAR,,,215244-1
566302,410213300,P/E,1,MOTOCICLETA,PARTICULAR,,,215245-1
566303,410213400,ZIG466,1,AUTOMOVIL,,,,215246-1
566304,410213400,APG576,2,CAMION FURGON,PUBLICO,,,215246-2
566305,410213500,SIO961,1,BUSETA,PUBLICO,,,215247-1
566306,410213600,ANH18,1,MOTOCICLETA,PARTICULAR,,,215248-1
566307,410213700,UDC583,1,BUS,PUBLICO,,,215249-1
566308,410214600,MQF823,1,AUTOMOVIL,PARTICULAR,,,215250-1
566309,410214600,SYM934,2,BUSETA,PUBLICO,,,215250-2
566310,410215200,CIL377,1,CAMPERO,OFICIAL,,,215251-1
566311,410215200,AMI901,2,CAMION ,PUBLICO,,,215251-2
566312,410215300,BOJ149,1,AUTOMOVIL,PARTICULAR,,,215252-1
566313,410215300,OBE760,2,CAMIONETA,OFICIAL,,,215252-2
566314,410215400,ATH598,1,AUTOMOVIL,PUBLICO,,,215253-1
566315,410215400,SHA436,2,MICROBUS,PUBLICO,,,215253-2
566316,410215500,SFL995,1,BUS,PUBLICO,,,215254-1
566317,410215500,SGV776,2,AUTOMOVIL,PUBLICO,,,215254-2
566318,410215700,CII605,1,CAMION ,PUBLICO,,,215255-1
566319,410215700,BMF267,2,AUTOMOVIL,PARTICULAR,,,215255-2
566320,410215800,SII347,1,AUTOMOVIL,PUBLICO,,,215256-1
566321,410215800,SFL982,2,BUS,PUBLICO,,,215256-2
566322,410216100,SFG722,1,BUS,PUBLICO,,,215257-1
566323,410216100,UDG042,2,AUTOMOVIL,PUBLICO,,,215257-2
566324,410216200,ZIO317,1,CAMIONETA,PARTICULAR,,,215258-1
566325,410216200,CKI313,2,AUTOMOVIL,PARTICULAR,,,215258-2
566326,410216300,CAJ498,1,CAMIONETA,PARTICULAR,,,215259-1
566327,410216300,CIL253,2,AUTOMOVIL,PARTICULAR,,,215259-2
566328,410216400,AUL902,1,AUTOMOVIL,PARTICULAR,,,215260-1
566329,410216400,VDC617,2,AUTOMOVIL,PUBLICO,,,215260-2
566330,410216500,P/E,1,NO IDENTIFICADO,,,,215261-1
566331,410216600,SBJ160,1,CAMION ,PUBLICO,,,215262-1
566332,410216600,KCI613,2,CAMPERO,PARTICULAR,,,215262-2
566333,410216700,P/E,1,MOTOCICLETA,PARTICULAR,,,215263-1
566334,410216800,P/E,1,BUS,PUBLICO,,,215264-1
566335,410216900,SIJ921,1,AUTOMOVIL,PUBLICO,,,215265-1
566336,410216900,P/E,2,BICICLETA,PARTICULAR,,,215265-2
566337,410217000,SFM898,1,BUS,PUBLICO,,,215266-1
566338,410217000,TQB296,2,BUSETA,PUBLICO,,,215266-2
566339,410217100,YME81,1,MOTOCICLETA,PARTICULAR,,,215267-1
566340,410217200,SIJ059,1,AUTOMOVIL,PUBLICO,,,215268-1
566341,410217200,VDB102,2,CAMION ,PUBLICO,,,215268-2
566342,410217300,SIA723,1,AUTOMOVIL,PUBLICO,,,215269-1
566343,410217400,JGQ72,1,MOTOCICLETA,PARTICULAR,,,215270-1
566344,410217500,BNK412,1,AUTOMOVIL,PARTICULAR,,,215271-1
566345,410217500,OAI663,2,CAMIONETA,PARTICULAR,,,215271-2
566346,410217500,BFZ103,3,AUTOMOVIL,PARTICULAR,,,215271-3
566347,410217600,CSW538,1,CAMPERO,PARTICULAR,,,215272-1
566348,410217600,VDC592,2,BUS,PUBLICO,,,215272-2
566349,410217700,BLT619,1,AUTOMOVIL,PARTICULAR,,,215273-1
566350,410217700,NTC080,2,MOTOCICLETA,PARTICULAR,,,215273-2
566351,410217800,BLH891,1,AUTOMOVIL,PARTICULAR,,,215274-1
566352,410217800,BDC765,2,AUTOMOVIL,PARTICULAR,,,215274-2
566353,410217900,VDE891,1,MICROBUS,PUBLICO,,,215275-1
566354,410217900,BJV164,2,AUTOMOVIL,PARTICULAR,,,215275-2
566355,410218100,JHF779,1,CAMIONETA,PARTICULAR,,,215276-1
566356,410218100,BJU095,2,CAMIONETA,PARTICULAR,,,215276-2
566357,410218200,VDC816,1,AUTOMOVIL,PUBLICO,,,215277-1
566358,410218200,BME944,2,AUTOMOVIL,PARTICULAR,,,215277-2
566359,410218300,CSK465,1,AUTOMOVIL,PARTICULAR,,,215278-1
566360,410218300,SIB742,2,AUTOMOVIL,PUBLICO,,,215278-2
566361,410218300,SIJ157,3,AUTOMOVIL,PUBLICO,,,215278-3
566362,410218400,BGW629,1,AUTOMOVIL,PARTICULAR,,,215279-1
566363,410218400,TWA030,2,TRACTOCAMION,PUBLICO,,,215279-2
566364,410218500,AHJ960,1,CAMION ,PUBLICO,,,215280-1
566365,410218500,CBV582,2,AUTOMOVIL,PARTICULAR,,,215280-2
566366,410218700,PAD226,1,AUTOMOVIL,PARTICULAR,,,215281-1
566367,410218700,XDH394,2,AUTOMOVIL,PUBLICO,,,215281-2
566368,410218800,FVE253,1,AUTOMOVIL,PARTICULAR,,,215282-1
566369,410218800,ZIP745,2,CAMION ,PARTICULAR,,,215282-2
566370,410218900,BHZ601,1,AUTOMOVIL,PARTICULAR,,,215283-1
566371,410218900,EWA018,2,VOLQUETA,PARTICULAR,,,215283-2
566372,410219000,VDG457,1,AUTOMOVIL,PUBLICO,,,215284-1
566373,410219100,SHK075,1,BUSETA,PUBLICO,,,215285-1
566374,410219100,P/E,2,BICICLETA,PARTICULAR,,,215285-2
566375,410219200,BMW428,1,CAMPERO,PARTICULAR,,,215286-1
566376,410219200,EXG349,2,AUTOMOVIL,PARTICULAR,,,215286-2
566377,410219300,P/E,1,MICROBUS,PUBLICO,,,215287-1
566378,410219400,VDE312,1,AUTOMOVIL,PUBLICO,,,215288-1
566379,410219400,SGW572,2,AUTOMOVIL,PUBLICO,,,215288-2
566380,410219500,SFU368,1,MICROBUS,PUBLICO,,,215289-1
566381,410219500,ALQ08,2,MOTOCICLETA,OFICIAL,,,215289-2
566382,410219600,SIC640,1,AUTOMOVIL,PUBLICO,,,215290-1
566383,410219600,AMR34,2,MOTOCICLETA,OFICIAL,,,215290-2
566384,410219700,P/E,1,MOTOCARRO,PARTICULAR,,,215291-1
566385,410219800,SCC564,1,BUSETA,PUBLICO,,,215292-1
566386,410219900,SFK898,1,BUS,PUBLICO,,,215293-1
566387,410219900,FSI982,2,CAMIONETA,PARTICULAR,,,215293-2
566388,410220000,BNX464,1,AUTOMOVIL,PARTICULAR,,,215294-1
566389,410220000,UDE486,2,AUTOMOVIL,PUBLICO,,,215294-2
566390,410220100,SIG524,1,AUTOMOVIL,PUBLICO,,,215295-1
566391,410220100,VDG118,2,AUTOMOVIL,PUBLICO,,,215295-2
566392,410220100,VDE773,3,AUTOMOVIL,PUBLICO,,,215295-3
566393,410220200,BFC765,1,AUTOMOVIL,PARTICULAR,,,215296-1
566394,410220200,SNB233,2,CAMION ,PUBLICO,,,215296-2
566395,410220200,SBV206,3,VOLQUETA,PUBLICO,,,215296-3
566396,410220300,P/E,1,BICICLETA,PARTICULAR,,,215297-1
566397,410220300,P/E,2,BUSETA,PUBLICO,,,215297-2
566398,410220400,BOF009,1,AUTOMOVIL,PARTICULAR,,,215298-1
566399,410220400,CBI926,2,CAMION ,PARTICULAR,,,215298-2
566400,410220500,ANF735,1,CAMPERO,PARTICULAR,,,215299-1
566401,410220600,SXGK61,1,AUTOMOVIL,PUBLICO,,,215300-1
566402,410220700,SIL890,1,MICROBUS,PUBLICO,,,215301-1
566403,410220700,P/E,2,BICICLETA,PARTICULAR,,,215301-2
566404,410220800,MQF653,1,CAMIONETA,PARTICULAR,,,215302-1
566405,410220900,YYT10A,1,MOTOCICLETA,PARTICULAR,,,215303-1
566406,410221100,SFH787,1,BUS,PUBLICO,,,215304-1
566407,410221100,SHJ907,2,BUS,PUBLICO,,,215304-2
566408,410221300,P/E,1,BICICLETA,PARTICULAR,,,215305-1
566409,410221400,SIA426,1,AUTOMOVIL,PUBLICO,,,215306-1
566410,410221400,HMC392,2,CAMIONETA,PARTICULAR,,,215306-2
566411,410221500,SHN482,1,AUTOMOVIL,PUBLICO,,,215307-1
566412,410221500,AAI317,2,CAMIONETA,PARTICULAR,,,215307-2
566413,410221600,AGD477,1,AUTOMOVIL,PARTICULAR,,,215308-1
566414,410221600,SGM971,2,AUTOMOVIL,PARTICULAR,,,215308-2
566415,410221700,SI962,1,AUTOMOVIL,PUBLICO,,,215309-1
566416,410221700,BLF632,2,AUTOMOVIL,PARTICULAR,,,215309-2
566417,410221800,SHE843,1,AUTOMOVIL,PUBLICO,,,215310-1
566418,410221800,EXI597,2,AUTOMOVIL,PARTICULAR,,,215310-2
566419,410221900,SIH921,1,MICROBUS,PUBLICO,,,215311-1
566420,410222000,SKK894,1,CAMION ,PUBLICO,,,215312-1
566421,410222100,SHE367,1,AUTOMOVIL,PUBLICO,,,215313-1
566422,410222100,SNC894,2,BUS,PUBLICO,,,215313-2
566423,410222200,WZH234,1,CAMION ,PUBLICO,,,215314-1
566424,410222200,SFQ184,2,BUS,PUBLICO,,,215314-2
566425,410222400,SHF461,1,MICROBUS,PUBLICO,,,215315-1
566426,410223000,LPY93A,1,MOTOCICLETA,PARTICULAR,,,215316-1
566427,410223000,SOD456,2,BUSETA,PUBLICO,,,215316-2
566428,410223100,ANB443,1,AUTOMOVIL,PARTICULAR,,,215317-1
566429,410223100,SHA369,2,AUTOMOVIL,PUBLICO,,,215317-2
566430,410223200,MZC467,1,AUTOMOVIL,PARTICULAR,,,215318-1
566431,410223200,SWJ598,2,VOLQUETA,PUBLICO,,,215318-2
566432,410223200,AKS16,3,MOTOCICLETA,PARTICULAR,,,215318-3
566433,410223300,HME870,1,CAMIONETA,PARTICULAR,,,215319-1
566434,410223500,JRL74A,1,MOTOCICLETA,PARTICULAR,,,215320-1
566435,410224600,VDI646,1,AUTOMOVIL,PUBLICO,,,215321-1
566436,410224600,SIH518,2,AUTOMOVIL,PUBLICO,,,215321-2
566437,410225200,UFE898,1,TRACTOCAMION,PUBLICO,,,215322-1
566438,410225200,BHT133,2,CAMIONETA,PARTICULAR,,,215322-2
566439,410225200,HAI043,3,CAMIONETA,PARTICULAR,,,215322-3
566440,410225300,VDI421,1,AUTOMOVIL,PUBLICO,,,215323-1
566441,410225300,VDI337,2,AUTOMOVIL,PUBLICO,,,215323-2
566442,410225400,CSQ267,1,AUTOMOVIL,PARTICULAR,,,215324-1
566443,410225400,JAC668,2,CAMION ,PARTICULAR,,,215324-2
566444,410225500,SFT573,1,MICROBUS,PUBLICO,,,215325-1
566445,410225500,SHK131,2,MICROBUS,PUBLICO,,,215325-2
566446,410225800,VDE700,1,AUTOMOVIL,PUBLICO,,,215326-1
566447,410225800,AKI769,2,AUTOMOVIL,PARTICULAR,,,215326-2
566448,410225900,SOC243,1,MICROBUS,PUBLICO,,,215327-1
566449,410225900,SOD732,2,MICROBUS,PUBLICO,,,215327-2
566450,410226100,CHR177,1,AUTOMOVIL,PARTICULAR,,,215328-1
566451,410226100,BAB942,2,CAMIONETA,PARTICULAR,,,215328-2
566452,410226200,SIF257,1,AUTOMOVIL,PUBLICO,,,215329-1
566453,410226200,SGP208,2,AUTOMOVIL,PUBLICO,,,215329-2
566454,410226300,SFJ748,1,AUTOMOVIL,PUBLICO,,,215330-1
566455,410226300,SHD403,2,AUTOMOVIL,PUBLICO,,,215330-2
566456,410226300,SHF444,3,AUTOMOVIL,PUBLICO,,,215330-3
566457,410226500,BIG086,1,CAMIONETA,PARTICULAR,,,215331-1
566458,410226500,SAH914,2,BUSETA,PUBLICO,,,215331-2
566459,410226600,SOC623,1,BUS,PUBLICO,,,215332-1
566460,410226700,BKY860,1,AUTOMOVIL,PARTICULAR,,,215333-1
566461,410226700,TPA973,2,CAMION ,PUBLICO,,,215333-2
566462,410226800,JFF055,1,CAMION ,PUBLICO,,,215334-1
566463,410226800,SAK171,2,CAMION ,PUBLICO,,,215334-2
566464,410226900,CTC086,1,AUTOMOVIL,PARTICULAR,,,215335-1
566465,410226900,SNE124,2,TRACTOCAMION,PUBLICO,,,215335-2
566466,410227200,VDG441,1,AUTOMOVIL,PUBLICO,,,215336-1
566467,410227200,P/E,2,NO IDENTIFICADO,,,,215336-2
566468,410227300,SOC155,1,MICROBUS,PUBLICO,,,215337-1
566469,410227300,BCB348,2,AUTOMOVIL,PARTICULAR,,,215337-2
566470,410227400,BNE580,1,AUTOMOVIL,PARTICULAR,,,215338-1
566471,410227400,SKI400,2,CAMIONETA,PUBLICO,,,215338-2
566472,410227400,CHY516,3,AUTOMOVIL,PARTICULAR,,,215338-3
566473,410227400,NGA122,4,AUTOMOVIL,PARTICULAR,,,215338-4
566474,410227500,SGA688,1,BUS,PUBLICO,,,215339-1
566475,410227500,BJD645,2,AUTOMOVIL,PARTICULAR,,,215339-2
566476,410227600,JKA494,1,CAMIONETA,PARTICULAR,,,215340-1
566477,410227600,CRI442,2,CAMIONETA,PARTICULAR,,,215340-2
566478,410227700,BER354,1,CAMIONETA,PARTICULAR,,,215341-1
566479,410227700,BKA911,2,CAMIONETA,PARTICULAR,,,215341-2
566480,410227800,CSD644,1,AUTOMOVIL,PARTICULAR,,,215342-1
566481,410227800,SUA369,2,OTRO,PUBLICO,,,215342-2
566482,410227900,IAC967,1,AUTOMOVIL,PARTICULAR,,,215343-1
566483,410227900,BHN644,2,AUTOMOVIL,PARTICULAR,,,215343-2
566484,410228200,SDD709,1,BUS,PUBLICO,,,215344-1
566485,410228200,SDD893,2,BUSETA,PUBLICO,,,215344-2
566486,410228300,SIS928,1,AUTOMOVIL,PUBLICO,,,215345-1
566487,410228300,P/E,2,BICICLETA,PARTICULAR,,,215345-2
566488,410228400,SFE578,1,BUS,PUBLICO,,,215346-1
566489,410228500,P/E,1,BUSETA,PUBLICO,,,215347-1
566490,410228600,BHM730,1,CAMPERO,PARTICULAR,,,215348-1
566491,410228700,SFA263,1,AUTOMOVIL,PUBLICO,,,215349-1
566492,410228800,VDF329,1,MICROBUS,PUBLICO,,,215350-1
566493,410228800,LVY71A,2,MOTOCICLETA,PARTICULAR,,,215350-2
566494,410228900,MQL020,1,CAMIONETA,PARTICULAR,,,215351-1
566495,410229200,SRA180,1,BUS,PUBLICO,,,215352-1
566496,410229200,SAB610,2,BUSETA,PUBLICO,,,215352-2
566497,410229300,SGB588,1,BUS,PUBLICO,,,215353-1
566498,410229300,SDD400,2,BUSETA,PUBLICO,,,215353-2
566499,410229400,EXL389,1,CAMIONETA,PARTICULAR,,,215354-1
566500,410229500,SGW983,1,BUSETA,PUBLICO,,,215355-1
566501,410229600,CRG411,1,AUTOMOVIL,PARTICULAR,,,215356-1
566502,410229700,ALH326,1,AUTOMOVIL,PARTICULAR,,,215357-1
566503,410229700,BON793,2,CAMPERO,PARTICULAR,,,215357-2
566504,410230000,ZGN68,1,MOTOCICLETA,PARTICULAR,,,215358-1
566505,410230000,BLA412,2,CAMPERO,PARTICULAR,,,215358-2
566506,410230100,SHE692,1,AUTOMOVIL,PUBLICO,,,215359-1
566507,410230100,FAG784,2,CAMION ,PARTICULAR,,,215359-2
566508,410230200,WTD566,1,BUSETA,PUBLICO,,,215360-1
566509,410230400,P/E,1,NO IDENTIFICADO,,,,215361-1
566510,410230500,LPV08A,1,MOTOCICLETA,PARTICULAR,,,215362-1
566511,410230600,DAD14,1,MOTOCICLETA,PARTICULAR,,,215363-1
566512,410230700,VDH258,1,AUTOMOVIL,PUBLICO,,,215364-1
566513,410230700,P/E,2,BICICLETA,PARTICULAR,,,215364-2
566514,410230800,VDJ560,1,AUTOMOVIL,PUBLICO,,,215365-1
566515,410230800,BEM852,2,AUTOMOVIL,PARTICULAR,,,215365-2
566516,410230900,AML87,1,MOTOCICLETA,OFICIAL,,,215366-1
566517,410231000,CJJ924,1,AUTOMOVIL,PARTICULAR,,,215367-1
566518,410231000,TNG47,2,MOTOCICLETA,PARTICULAR,,,215367-2
566519,410231100,SHF406,1,BUS,PUBLICO,,,215368-1
566520,410231200,BFA902,1,AUTOMOVIL,PARTICULAR,,,215369-1
566521,410231200,SDG969,2,BUSETA,PUBLICO,,,215369-2
566522,410231300,GDB279,1,CAMIONETA,PARTICULAR,,,215370-1
566523,410231400,SIR390,1,MICROBUS,PUBLICO,,,215371-1
566524,410231400,BKC001,2,AUTOMOVIL,PARTICULAR,,,215371-2
566525,410231500,UDD860,1,AUTOMOVIL,PUBLICO,,,215372-1
566526,410231500,ZOA606,2,CAMIONETA,PARTICULAR,,,215372-2
566527,410231600,ARI068,1,AUTOMOVIL,PARTICULAR,,,215373-1
566528,410231600,UDH192,2,AUTOMOVIL,PUBLICO,,,215373-2
566529,410231700,SFR620,1,BUS,PUBLICO,,,215374-1
566530,410231700,CAS046,2,CAMIONETA,PARTICULAR,,,215374-2
566531,410231800,BJY911,1,AUTOMOVIL,PARTICULAR,,,215375-1
566532,410231800,SOL739,2,CAMION ,PUBLICO,,,215375-2
566533,410231900,SHE317,1,AUTOMOVIL,PUBLICO,,,215376-1
566534,410231900,P/E,2,MICROBUS,PUBLICO,,,215376-2
566535,410232100,FTA440,1,CAMIONETA,PARTICULAR,,,215377-1
566536,410232100,SBJ825,2,AUTOMOVIL,PARTICULAR,,,215377-2
566537,410232200,SGH723,1,BUS,PUBLICO,,,215378-1
566538,410232200,CSE360,2,AUTOMOVIL,PARTICULAR,,,215378-2
566539,410232300,SYM280,1,MICROBUS,PUBLICO,,,215379-1
566540,410232300,ZIV429,2,CAMIONETA,PARTICULAR,,,215379-2
566541,410232400,SFN626,1,AUTOMOVIL,PUBLICO,,,215380-1
566542,410232400,SFH405,2,BUS,PUBLICO,,,215380-2
566543,410232400,SCA694,3,BUSETA,PUBLICO,,,215380-3
566544,410232600,ZGA017,1,AUTOMOVIL,PARTICULAR,,,215381-1
566545,410232600,CHM823,2,AUTOMOVIL,PARTICULAR,,,215381-2
566546,410232600,SIO960,3,BUSETA,PUBLICO,,,215381-3
566547,410233300,BML173,1,AUTOMOVIL,PARTICULAR,,,215382-1
566548,410233300,RHB739,2,CAMION ,PUBLICO,,,215382-2
566549,410233400,SGX947,1,AUTOMOVIL,PUBLICO,,,215383-1
566550,410233400,P/E,2,BICICLETA,PARTICULAR,,,215383-2
566551,410233500,P/E,1,AUTOMOVIL,PARTICULAR,,,215384-1
566552,410233500,P/E,2,BICICLETA,PARTICULAR,,,215384-2
566553,410233600,OPO35A,1,MOTOCICLETA,PARTICULAR,,,215385-1
566554,410233700,SIO880,1,AUTOMOVIL,PUBLICO,,,215386-1
566555,410233700,UAE03A,2,MOTOCICLETA,PARTICULAR,,,215386-2
566556,410234000,AMC849,1,CAMION ,PUBLICO,,,215387-1
566557,410234000,KFD816,2,AUTOMOVIL,PARTICULAR,,,215387-2
566558,410234100,AMD98,1,MOTOCICLETA,OFICIAL,,,215388-1
566559,410234200,YNV65,1,AUTOMOVIL,PARTICULAR,,,215389-1
566560,410234300,OHK525,1,CAMPERO,OFICIAL,,,215390-1
566561,410234400,P/E,1,MOTOCICLO,PARTICULAR,,,215391-1
566562,410234500,YAA14A,1,MOTOCICLETA,PARTICULAR,,,215392-1
566563,410234500,SIM793,2,AUTOMOVIL,PUBLICO,,,215392-2
566564,410234600,SDF298,1,BUSETA,PUBLICO,,,215393-1
566565,410234600,P/E,2,BICICLETA,PARTICULAR,,,215393-2
566566,410234700,SIE457,1,AUTOMOVIL,PUBLICO,,,215394-1
566567,410234700,SHC159,2,MICROBUS,PUBLICO,,,215394-2
566568,410235000,SIJ782,1,MICROBUS,PUBLICO,,,215395-1
566569,410235000,SGH861,2,AUTOMOVIL,PUBLICO,,,215395-2
566570,410235100,CFF363,1,AUTOMOVIL,PARTICULAR,,,215396-1
566571,410235100,SOC548,2,CAMION ,PUBLICO,,,215396-2
566572,410235200,P/E,1,AUTOMOVIL,PUBLICO,,,215397-1
566573,410235300,SHH325,1,BUS,PUBLICO,,,215398-1
566574,410235400,AKZ93,1,MOTOCICLETA,PARTICULAR,,,215399-1
566575,410235500,SHE899,1,AUTOMOVIL,PUBLICO,,,215400-1
566576,410235700,SOC998,1,CAMION ,PUBLICO,,,215401-1
566577,410235700,AGI91,2,MOTOCICLETA,PARTICULAR,,,215401-2
566578,410235800,BDA216,1,MICROBUS,PUBLICO,,,215402-1
566579,410235800,SWC072,2,BUS,PUBLICO,,,215402-2
566580,410235900,VDJ505,1,AUTOMOVIL,PUBLICO,,,215403-1
566581,410235900,CHV658,2,AUTOMOVIL,PARTICULAR,,,215403-2
566582,410236000,SGW213,1,AUTOMOVIL,PUBLICO,,,215404-1
566583,410236100,P/E,1,MICROBUS,PUBLICO,,,215405-1
566584,410236100,P/E,2,MICROBUS,PUBLICO,,,215405-2
566585,410236200,VDG413,1,AUTOMOVIL,PUBLICO,,,215406-1
566586,410236200,ALD566,2,AUTOMOVIL,PARTICULAR,,,215406-2
566587,410236500,BKC752,1,CAMION ,PUBLICO,,,215407-1
566588,410236500,ATC112,2,AUTOMOVIL,PARTICULAR,,,215407-2
566589,410236500,LYB223,3,AUTOMOVIL,PARTICULAR,,,215407-3
566590,410236500,SBF276,4,TRACTOCAMION,PUBLICO,,,215407-4
566591,410236600,SGP262,1,AUTOMOVIL,PUBLICO,,,215408-1
566592,410236600,BLP915,2,AUTOMOVIL,PARTICULAR,,,215408-2
566593,410236600,AQE775,3,MOTOCICLETA,PARTICULAR,,,215408-3
566594,410236600,AJF966,4,CAMIONETA,PARTICULAR,,,215408-4
566595,410236700,TGM308,1,BUS,PUBLICO,,,215409-1
566596,410236700,SIK995,2,AUTOMOVIL,PUBLICO,,,215409-2
566597,410236800,BOA319,1,AUTOMOVIL,PARTICULAR,,,215410-1
566598,410236800,TCB213,2,TRACTOCAMION,PUBLICO,,,215410-2
566599,410236900,SUA368,1,CAMION ,PUBLICO,,,215411-1
566600,410236900,SFW139,2,AUTOMOVIL,PUBLICO,,,215411-2
566601,410236900,SGF094,3,CAMION ,PUBLICO,,,215411-3
566602,410237000,SGV43A,1,AUTOMOVIL,PUBLICO,,,215412-1
566603,410237000,SCA588,2,BUSETA,PUBLICO,,,215412-2
566604,410237100,CHP475,1,AUTOMOVIL,PARTICULAR,,,215413-1
566605,410237100,AHE170,2,CAMION ,PUBLICO,,,215413-2
566606,410237200,SEA649,1,BUSETA,PUBLICO,,,215414-1
566607,410237200,SGT591,2,BUSETA,PUBLICO,,,215414-2
566608,410237300,UFR624,1,CAMIONETA,PUBLICO,,,215415-1
566609,410237300,SFR072,2,BUS,PUBLICO,,,215415-2
566610,410237400,SIP418,1,MICROBUS,PUBLICO,,,215416-1
566611,410237500,P/E,1,BUSETA,PUBLICO,,,215417-1
566612,410237600,GMC761,1,AUTOMOVIL,PARTICULAR,,,215418-1
566613,410237600,DGQ65A,2,AUTOMOVIL,PARTICULAR,,,215418-2
566614,410237700,ELE784,1,CAMIONETA,PARTICULAR,,,215419-1
566615,410237800,SIB728,1,AUTOMOVIL,PUBLICO,,,215420-1
566616,410237800,CSO610,2,CAMIONETA,PARTICULAR,,,215420-2
566617,410237900,BXA705,1,AUTOMOVIL,PARTICULAR,,,215421-1
566618,410237900,KGF54,2,MOTOCICLETA,PARTICULAR,,,215421-2
566619,410238000,SIL265,1,AUTOMOVIL,PUBLICO,,,215422-1
566620,410238000,VDB495,2,AUTOMOVIL,PUBLICO,,,215422-2
566621,410238100,CHL187,1,CAMIONETA,PARTICULAR,,,215423-1
566622,410238400,SFP787,1,BUS,PUBLICO,,,215424-1
566623,410238400,SID951,2,AUTOMOVIL,PUBLICO,,,215424-2
566624,410238500,SIF536,1,BUS,PUBLICO,,,215425-1
566625,410238600,P/E,1,NO IDENTIFICADO,,,,215426-1
566626,410238700,ATJ910,1,CAMIONETA,PARTICULAR,,,215427-1
566627,410238800,LPZ28A,1,MOTOCICLETA,PARTICULAR,,,215428-1
566628,410238800,P/E,2,BICICLETA,PARTICULAR,,,215428-2
566629,410238900,CSE730,1,AUTOMOVIL,PARTICULAR,,,215429-1
566630,410239000,P/E,1,BICICLETA,PARTICULAR,,,215430-1
566631,410239000,P/E,2,MOTOCICLETA,PARTICULAR,,,215430-2
566632,410239100,ABD11,1,MOTOCICLETA,PARTICULAR,,,215431-1
566633,410239200,BGF492,1,AUTOMOVIL,PARTICULAR,,,215432-1
566634,410239200,AMP42,2,MOTOCICLETA,OFICIAL,,,215432-2
566635,410239300,CIS578,1,CAMIONETA,PARTICULAR,,,215433-1
566636,410239300,LOI32A,2,MOTOCICLETA,PARTICULAR,,,215433-2
566637,410239400,BNE528,1,CAMIONETA,PARTICULAR,,,215434-1
566638,410239400,EPA210,2,AUTOMOVIL,PARTICULAR,,,215434-2
566639,410239500,ORZ57A,1,MOTOCICLETA,PARTICULAR,,,215435-1
566640,410239600,VDB768,1,AUTOMOVIL,PUBLICO,,,215436-1
566641,410239600,LPS74A,2,MOTOCICLETA,PARTICULAR,,,215436-2
566642,410239700,P/E,1,MOTOCICLETA,PARTICULAR,,,215437-1
566643,410239800,BDV582,1,AUTOMOVIL,PARTICULAR,,,215438-1
566644,410239800,AML49,2,MOTOCICLETA,OFICIAL,,,215438-2
566645,410239900,KGX82A,1,MOTOCICLETA,PARTICULAR,,,215439-1
566646,410240000,KBJ09,1,MOTOCICLETA,PARTICULAR,,,215440-1
566647,410240100,SHF568,1,AUTOMOVIL,PUBLICO,,,215441-1
566648,410240200,P/E,1,BICICLETA,PARTICULAR,,,215442-1
566649,410240200,P/E,2,MOTOCICLETA,PARTICULAR,,,215442-2
566650,410240300,VDD580,1,MICROBUS,PUBLICO,,,215443-1
566651,410240300,VDG053,2,BUS,PUBLICO,,,215443-2
566652,410240300,SYQ769,3,CAMION ,PUBLICO,,,215443-3
566653,410240400,TNI82,1,MOTOCICLETA,PARTICULAR,,,215444-1
566654,410240500,VDB467,1,AUTOMOVIL,PUBLICO,,,215445-1
566655,410240500,SGG560,2,AUTOMOVIL,PUBLICO,,,215445-2
566656,410240600,SHL550,1,MICROBUS,PUBLICO,,,215446-1
566657,410240700,SEA445,1,BUSETA,PUBLICO,,,215447-1
566658,410240700,OPM63A,2,MOTOCICLETA,PARTICULAR,,,215447-2
566659,410240800,SIL590,1,AUTOMOVIL,PUBLICO,,,215448-1
566660,410240900,SDD574,1,BUS,PUBLICO,,,215449-1
566661,410240900,BAC914,2,AUTOMOVIL,PARTICULAR,,,215449-2
566662,410241000,SHN571,1,AUTOMOVIL,PUBLICO,,,215450-1
566663,410241000,P/E,2,BICICLETA,PARTICULAR,,,215450-2
566664,410241100,AFC68,1,MOTOCICLETA,PARTICULAR,,,215451-1
566665,410241200,YYG92A,1,MOTOCICLETA,PARTICULAR,,,215452-1
566666,410241300,P/E,1,NO IDENTIFICADO,,,,215453-1
566667,410241400,SCC302,1,BUSETA,PUBLICO,,,215454-1
566668,410241500,JJF904,1,AUTOMOVIL,PARTICULAR,,,215455-1
566669,410241500,YLN31,2,MOTOCICLETA,PARTICULAR,,,215455-2
566670,410241600,BKQ443,1,AUTOMOVIL,PARTICULAR,,,215456-1
566671,410241600,CSN420,2,CAMION ,PARTICULAR,,,215456-2
566672,410241700,BNN306,1,AUTOMOVIL,PARTICULAR,,,215457-1
566673,410241700,CSB564,2,AUTOMOVIL,PARTICULAR,,,215457-2
566674,410241800,AUE017,1,AUTOMOVIL,PARTICULAR,,,215458-1
